fname,dialogue,summary,topic
train_10_aug,"#Person1#: 부탁 들어줄 수 있어?#Person2#: 물론이지.?#Person1#: 가게에 다녀와 줄래? 몇 가지 필요한 게 있어.#Person2#: 알았어. 뭐 돼?#Person1#: 좀 사다줄 수 있어?#Person2#: . 얼마나?#Person1#: 작은 봉지로 한 정도? 그리고 오렌지도 좀 필요해.#Person2#: 몇 돼?#Person1#: . 여섯 개쯤?#Person2#: 더 필요한 건?#Person1#: 응, 우유도.#Person2#: . 얼마나 사오면 돼? 갤런 하나?#Person1#: 아니, 반 갤런이면 충분할 같아.#Person2#: 그게?#Person1#: 것 같아. 다 적었어?#Person2#: 응. 작은 설탕 봉지 하나에, 오렌지 여섯 개, 우유 갤런 맞지?#Person1#: 충분해?#Person2#: 것 같아.#Person1#: . 정말로 고마워.","#Person1#은 #Person2#에게 가게에서 작은 설탕 봉지 하나, 오렌지 여섯 개, 우유 반 갤런을 사다달라고 부탁하고, #Person2#는 이를 흔쾌히 수락합니다.",가게 심부름
train_11_aug,"#Person1#: 봐봐! 학사모 쓰고 가운 입은 이 사진 좀 봐.#Person2#: 멋진데! 그때가 Miami University에서 석사 학위 받았을 때지.#Person1#: 응, 우리 모두 그녀가 자랑스러워.#Person2#: 오, 이거 너희들 다 같이 찍은 사진 좋다. 혹시 있어? 복사 하나 받을 수 있어?#Person1#: 물론이지, 만들어줄게.?#Person2#: 아니, 슬라이드로 부탁할게, 새 프로젝터가.#Person1#: 나도 그거 직접 싶다.#Person2#: 지갑 하나 인화 부탁해.#Person1#: 그럼, 그렇게.","#Person2#는 사진이 멋지다고 생각하며, #Person1#에게 슬라이드와 지갑 크기의 인화를 요청합니다.",사진 인화
train_12_aug,"#Person1#: Bean도 너한테 이상한 농담 그러지 않아? 좀 봐줘봐.#Person2#: 아, 진짜 너무하는데! 이상한 이메일도 짜증나는데, 이런 식의 성희롱은 너무하잖아.#Person1#: 그래서 저번에 내 주소가 어디냐고 물어봤던 거구나 - 괴롭히려고 거였어!#Person2#: 스팸 필터를 야한 내용이나 원치 않는 메시지를 걸러내는 것도 한 방법이야.",#Person2#는 #Person1#에게 스팸 필터를 사용해 Bean의 부적절한 농담을 걸러내라고 제안합니다.,성희롱 신고
train_13_aug,"#Person1#: Keith는 살이야?#Person2#: . James는 몇 살이야?#Person1#: Keith보다 한 살 많아, 더 어려 보이더라.#Person2#: 아버지는 어떻게?#Person1#: 잘 지내셔. 지난주에 은퇴하셨어. 이제 편히 쉬시면서 은퇴 생활을 수 있어.#Person2#: 손주들과 더 시간을 보낼 수 있겠네.#Person1#: 아, 그럴 마음은 없으신 것 같아. 세계 여러 나라를 싶어 하셔.#Person2#: 더 활발한 은퇴 생활을 원하시나 봐. 좋은!#Person1#: 너는 노년에 보내고 싶어?#Person2#: 나도 아마 보낼 것 같아.",#Person1#과 #Person2#는 가족의 나이에 대해 이야기하고 있습니다. #Person2#의 아버지는 은퇴 후 세계 여행을 하고 싶어 하십니다.,가족과 은퇴 생활
train_14_aug,"#Person1#: 어떤 음악 듣는 거?#Person2#: 빠른 비트에 신나는, 댄스 음악 같은 거 좋아해. 거의 매주 디스코 가거든. 가끔 너무 시끄럽긴 하지만. 너는 클래식 음악 좋아하지?#Person1#: 응, 맞아. 난 그게 정말 편안하더라. 힘든 하루 끝나고 모차르트나 바흐 같은 거 자주 들어.#Person2#: 솔직히 말하자면, 나도 음악 몇 곡은 좋아해. 현대 댄스 음악보다 확실히 더 세련됐지.#Person1#: 클래식 음악은 뇌에 좋다고 하잖아. 연구에 따르면 뇌를 더 활성화시켜. 공부할 때 클래식 음악 듣는 학생이 더.#Person2#: 진짜? 나도 클래식 음악 자주 들어야겠네. 클래식 음악 듣는 게 스트레스 해소에 도움이 된다고.#Person1#: 맞아. 그래서 저녁에 많이. 주로 요리하거나 집안일 할 때 배경 음악으로 틀어놓거든.#Person2#: 나도 클래식 음악 CD 몇 장 있는데. 따라 뇌 능력 좀 키워봐야겠다.#Person1#: 녹음된 거 많으니까. 샘플 들어보고 마음에 들면 싸게 살 수 있어.#Person2#: 그거 좋은 아이디어네. 너도 다른 음악으로 그렇게 해봐. 좋아할 만한 거 찾을 수도 있어. 클래식 음악이 똑똑하게 만들 수도 있지만, 댄스 음악은 활기차고 행복하게 수도 있어.#Person1#: 맞아. 신나는 음악 듣는 사람이 활기찬 사람이란 명백한 증거가. 음악이 사람의 기분과 성격에 영향을 줄 수.","#Person2#는 댄스 음악을 좋아하고 #Person1#은 클래식 음악을 선호한다. #Person1#은 #Person2#에게 클래식 음악을 더 많이 들으면 뇌가 활성화되고 스트레스가 줄어든다고 제안한다. #Person2#는 클래식 음악이 자신을 더 똑똑하게 만들 수 있지만, 댄스 음악은 더 활기차고 행복하게 만들 수도 있다고 말한다.",음악 취향
train_15_aug,"#Person1#: 사람이 한 말이 헷갈려요.#Person2#: 그렇게 생각해요?#Person1#: 그 의도가 뭔지 모르겠어요. 저를 도와주려는 건지, 아니면 혼내려는 건지.#Person2#: 좀 더 생각해 보세요. 제 생각엔 그 사람이 좋은 의도를 있는 것 같아요.",#Person1#은 #Person2#에게 그 사람의 말 때문에 혼란스럽다고 이야기합니다.,의도 파악의 혼란
train_16_aug,"#Person1#: 발렌타인데이에 대해 좀 설명해?#Person2#: 음, 그날은 보통 남자들이 사랑하는 사람에게 장미를 주고, 여자들은 그 답례로 초콜릿을.#Person1#: 정말 낭만적인데. 젊은 그날을 정말 즐기겠네.#Person2#: 맞아, 그게 바로 이 휴일의!",#Person2#는 발렌타인데이에 대해 #Person1#에게 설명합니다. #Person1#은 그것이 낭만적이라고 생각합니다.,발렌타인데이
train_17_aug,"#Person1#: 이 당신 삼둥이인가요? 정말 예쁘네요! 제가 본 다른 아기들은 이 나이 때 조금 마른 편이던데요. 이 아이들은 정말 당신과 꼭 닮았어요! 더 낳을 계획이 있으신가요?#Person2#: 그만해요! 저는 정말 한계에. 어떤 날은 잠도 못 자요. John은 아기들이 소리를 지르는데도 잘 자더라고요.#Person1#: , 그럼 출산은 어땠어요?#Person2#: 인생에서 가장 시간이라고는 못 하겠지만, 적어도 큰 문제 없이 잘 끝났어요.#Person1#: 잘. 20년 후엔 이 시간이 정말 가치 있었다고 느낄 거예요!",#Person1#은 #Person2#에게 더 많은 아이를 가질 계획이 있는지 묻습니다. #Person2#은 아기들이 울어대는 탓에 잠을 자기도 힘들다며 계획이 없다고 답합니다.,삼둥이와 육아
train_18_aug,"#Person1#: 와, 아이스크림 종류가 정말!#Person2#: , 진짜 많네. 너는 어떤 게 제일 좋아?#Person1#: 난 뭐든 초콜릿 게 제일 좋아.#Person2#: 나도 초콜릿.#Person1#: 아이스크림도 있어?#Person2#: 견과류 들어간 아이스크림은 별로야.#Person1#: 나도 건 별로 안 좋아해.#Person2#: 마늘 아이스크림 먹어본 있어?#Person1#: , 정말 끔찍할 것 같은데!#Person2#: 맞아, 정말 그랬어. 일반적인 걸로 먹자.","#Person1#과 #Person2#은 다양한 아이스크림 종류에 대해 이야기하며, 결국 일반적인 종류를 선택하기로 합니다.",아이스크림 선택
train_19_aug,"#Person1#: 같이 일할 거야?#Person2#: 내가 녹색 메모장을 다시 수 있나? 칭찬의 메모를 쓰려고.#Person1#: 그건 협상해 봐야지. 가능성은.#Person2#: 날 건 아니지?#Person1#: 나가진 마,#Person2#.#Person2#: 좋아, . 언제 시작하면 돼?#Person1#: 가능한 여기로 와. 우리는 기다리고 있을게.",#Person1#이 #Person2#에게 함께 일하자고 제안하고 #Person2#가 이를 수락합니다.,공동 작업 제안
train_20_aug,"#Person1#: 이 시트 어떻게? 어디 레버가 있는 것 같은데.#Person2#: 뭐 하는 거야?#Person1#: 옷 입으려고 하는데, 보여?#Person2#: 너 지금 차 안 도로 위에서 옷 갈아입으려고 하는? 위험하지 않아?#Person1#: 나 잘할 있어. 아무도 못 볼 거야.#Person2#: 장난해? 다른 지나가다 보면 사고 날 수도 있어!#Person1#: 알겠어, 저기 있는 휴게소에 세울게. 화장실에서 옷 갈아입을게.#Person2#: , 그게 더 안전하겠다.",#Person1#이 차 안에서 옷을 갈아입으려 하자 #Person2#가 위험하다고 경고했다. 결국 #Person1#은 휴게소에서 옷을 갈아입기로 했다.,차량 내 옷 갈아입기 논쟁
train_21_aug,"#Person1#: 조, 에어 카운터에서 이륙 30분 전에 체크인해야 한다고 했어.#Person2#: 응, 알아. 티켓에 있는 탑승 시간이 17시 5분이고 지금 16시 15분이니까, 충분히 있어.#Person1#: 체크인할 때 신분증 해?#Person2#: 응,.#Person1#: 짐은 해?#Person2#: 짐은 체크인하고 작은 가방은 기내 반입할 수. 그리고 각 가방을 열어 검사해야 해.#Person1#: 모든 승객을 수색하는?#Person2#: 그럴 것 같아. 오늘 절대 테러 같은 일이 일어나면 안 되니까.",#Person1#가 에어 차이나 카운터에서 체크인 시 필요한 절차에 대해 #Person2#에게 묻고 안내받습니다.,공항 체크인 과정
train_22_aug,"#Person1#: 제가 여기 서비스가 좋다고 들어서, 이사할 때마다 가장 연락드려요.#Person2#: 연락 주셔서 감사합니다. 어떤 도움 필요하신지 말씀 좀?#Person1#: 네, 저희가 현재 8층에 있는데, 다른 건물 6층으로 이사하려고 해요. 그곳까지 약 정도 되거든요.#Person2#: . 비용은 이사하는 층수, 두 장소 간의 거리, 그리고 옮길 물품의 양에 따라 결정됩니다.#Person1#: 그럼 얼마나 들까요?#Person2#: 음, 보니까 두 번째 요금에 부합하시네요. 계약서를 한번 보시겠어요?#Person1#: 요금이 선금과 잔액으로 나뉘어 있네요. 전부 이사 전에 내야 하는 줄.#Person2#: 아니요, 계약 체결 시 전체 비용의 50% 를 선결제하시면 되고, 나머지는 이사 완료 후에 됩니다.#Person1#: 손상 및 보상 부분이, 설명 좀 해주실 수 있나요?#Person2#: 네, 이사 중에 물건이 경우 저희 부서에 보상 청구를 하실 수 있습니다.","#Person1#는 이사를 위해 #Person2#에게 전화를 걸어 도움을 요청하고, 필요한 사항을 설명하며 비용을 문의합니다. #Person2#는 계약서와 함께 비용 및 보상 절차에 대해 안내합니다.",이사 문의
train_23_aug,"#Person1#: 안녕, 마이크. 못 본 지 좀 됐네. 어때?#Person2#: 우리 안 만나요.#Person1#: 무슨? 헤어졌어?#Person2#: 응. 캐시가 계속 지겨워졌어.#Person1#: 아, 미안해. 그때는 그냥 감정적이었을지도 몰라. 다시 가능성은 없을까?#Person2#: 잘 모르겠어. 사람 많은데!#Person1#: , 너 참 쿨하다!",마이크는 캐시와 헤어졌다. #Person1#은 안타까워하지만 마이크는 다시 만날 생각이 없다.,연인 이별
train_24_aug,"#Person1#: 본 영화 중에 뭐가 제일 좋아?#Person2#: 난 Superbad가 최고라고.#Person1#: 그래? 왜 그렇게?#Person2#: Superbad가 웃기거든.#Person1#: 맞아, 나도 그 영화 재미있게 봤어.#Person2#: 너가 본 줄 몰랐네.#Person1#: 나 영화 나왔을 때 줄 서서 봤어.#Person2#: 나도 영화 내내 웃음을 멈출 수가.#Person1#: 진짜 웃기다 못해 배가 아플 정도였어.#Person2#: 딱 그런 느낌이었어.#Person1#: 나 DVD 나왔을 때 샀는데, 우리 와서 같이 볼래?#Person2#: 좋지.",#Person1#과 #Person2#는 Superbad가 매우 재미있다고 생각합니다. 그들은 영화를 보며 웃음을 멈출 수 없었다고 말합니다. #Person1#은 #Person2#를 집으로 초대하여 함께 DVD를 보자고 합니다.,영화 감상
train_25_aug,"#Person1#: 지미, 왜 이렇게 보안 검사를 해? 혹시 위험한 곳이라도 되는 거야?#Person2#: 아, 전혀 아니야. 그냥 만일을 대비하는 거야. 걱정할 필요. 중국에서도 이렇게 안 해?#Person1#: 잘 모르겠어. 비슷할 수도 있지. 사실 내가 처음 온 바야.#Person2#: 아, 내가 너랑 같이 와서 영광이네. 네가 왜 이렇게 바에 대해 궁금해했는지 알겠다. 이곳 마음에 들어?#Person1#: 물론이지. 여기 좋아! 특히 장식이 정말 세련됐어.#Person2#: 맞아. 그리고 이곳의 매력은 훌륭한 음료들이지. 티켓 좀 줄래?#Person1#: 여기. 근데 왜? 우리 이미 안에 들어왔잖아.#Person2#: 음, 티켓으로 음료를 받을 수 있어. 뭐 마시고 싶어? 오렌지 주스?#Person1#: 응, 오렌지 주스 괜찮아. 그런데 가져올 거야? 카운터 주변이 너무 붐벼서 움직이기도 힘들어 보여.#Person2#: 내가 어떻게 하는지 보여줄게. 바텐더들이 누구 차례인지 알아. 그리고 손가락을 튕겨서 바텐더의 주의를 끌 수도.#Person1#: 멋진데..",#Person1#은 처음으로 바를 방문했습니다. #Person1#은 바의 세련된 장식을 매우 좋아합니다. 지미는 무료 음료를 받기 위해 #Person1#에게 티켓을 요청합니다.,바 방문
train_26_aug,"#Person1#: 저기요, 이 센트럴 파크로 가나요?#Person2#: , 맞습니다.#Person1#: 언제쯤 센트럴 파크에 도착할지 수 있을까요?#Person2#: 걱정. 정류장에 도착하면 알려드릴게요.#Person1#: ( 분 후) 다음 정류장에서 내려야 하나요?#Person2#: , 아직이에요. 도착하면 말씀드릴게요.#Person1#: 오래?#Person2#: 아뇨, 그렇게 오래 걸리지 않아요. 두 정거장만 더 돼요.#Person1#: . 감사합니다.#Person2#: .","#Person1#이 센트럴 파크로 가는 버스를 타고 있으며, #Person2#가 내릴 정류장을 안내합니다.",버스 이용
train_27_aug,"#Person1#: . White, 다음 달 초에 회사를 그만두려고 합니다.#Person2#: Jessica, 그 말을 들으니 정말 아쉽네요. 왜 그만두시려는?#Person1#: 높은 연봉과 승진 기회를 제안받은 다른 직장이 있어서요.#Person2#: , 그렇군요. 일찍 말씀해주셨으면 저희도 급여 인상을 고려했을 텐데요.#Person1#: Mr. White, 고용주셨고, 당신 같은 상사를 만난 건 행운이었습니다. 하지만 이번 새로운 일자리가 제가 항상 원하던 교육 분야라서요.#Person2#: 알겠습니다, Jessica. 새로운 직장에서 행운을 빌어요. 필요하면 언제든지 말씀하세요. 제가 기꺼이 써 드릴게요.",Jessica는 Mr. White에게 더 나은 조건의 직장을 제안받아 회사를 그만두겠다고 알립니다. Mr. White는 아쉬워하지만 추천서를 써 주겠다고 합니다.,직장 퇴사
train_28_aug,"#Person1#: 영업 쪽에서 일해본 경험 있으세요?#Person2#: 네, 있습니다. 사실 무역 거의 2년 정도 일했어요. 그동안 여러 회사와 사업 관계를 맺었어요.#Person1#: 그 회사에서 구체적으로 무슨 하셨나요?#Person2#: 고객 방문하고, 화물 발송하고 그런.#Person1#: 그 일이 드셨나요?#Person2#: 네, 마음에.#Person1#: 언제, 왜 그 회사를 떠났나요?#Person2#: 두 달 전에 떠났어요. 거기서는 많이 배울 수 없다고 생각했거든요. 자기 개발의 별로 없었고요.#Person1#: 그렇군요. 우리 회사를 선택한?#Person2#: 귀사에서는 자기 발전의 기회가 많다고 들었습니다. 게다가 저는 동북 지역 자라서, 그 지역에서 아는 사람이 많아 판매에 도움이 될 수 있을 것.","#Person1#은 #Person2#를 인터뷰하며 영업 경력, 이전 회사에서의 업무와 그 회사를 떠난 이유 등에 대해 물어보았습니다.",면접
train_29_aug,"#Person1#: 일요일이야.#Person2#: , 알아.#Person1#: 오늘 청소하는 게 어때? 너는 어떻게 생각해?#Person2#: , 안 돼. 지난주에 했잖아.#Person1#: 그럼 네가 하고 싶은 건? 빨래할래 아니면 집 청소할래?#Person2#: 빨래가 더 나아.#Person1#: . 여기 빨래 있어.#Person2#: 세상에! 양이 너무!#Person1#: 걱정. 나중에 도와줄게.",#Person1#은 집 청소를 제안했지만 #Person2#는 빨래를 선택하였다.,집안일 분담
train_30_aug,"#Person1#: ?#Person2#: 아직 결정을 못 했어요. 조금만 시간을 주시겠어요?#Person1#: 네, 천천히.#Person2#: 음료 좀 시킬 수 있을까요? 맥주 두 주세요.#Person1#: , 알겠습니다.#Person2#: 오늘의 스페셜 메뉴가 알려 주세요.#Person1#: 오늘의 스페셜은.#Person2#: 그럼 부탁할게요.#Person1#: 스테이크에는 어떤 것을?#Person2#: 당근으로 주세요.#Person1#: 네, . 디저트는 무엇으로 하시겠어요?#Person2#: 아이스크림.","#Person2#는 맥주 두 병, 오늘의 스페셜인 스테이크와 곁들일 완두콩과 당근, 디저트로 아이스크림을 주문합니다.",음식 주문
train_31_aug,"#Person1#: ?#Person2#: 가죽 재킷을 사고.#Person1#: 사이즈는 되세요?#Person2#: 40.#Person1#: 어떤 원하세요?#Person2#: 잠깐만요. 갈색이면?#Person1#: 음, 예쁘긴 한데, 검정색이 더 잘 어울릴 것 같아요.#Person2#: 정말요? 그걸로 주세요.#Person1#: 다른 건 없으세요?#Person2#: 드레스는 순수 실크로 만든 건가요?#Person1#: , 그렇습니다. 굉장히 고급스러워요.#Person2#: 세탁이?#Person1#: 네, 조심하셔야 해요.#Person2#: 가격은?#Person1#: 350.#Person2#: 좋아요. 포장 좀?#Person1#: 네, 있습니다.",#Person2#는 #Person1#의 추천으로 가죽 재킷과 순수 실크로 만든 드레스를 구매합니다.,가죽 재킷과 드레스 구매
train_32_aug,"#Person1#: 로스앤젤레스라는 곳이 많이 익숙해. 날씨도 정말 좋다더라. 내내 꽃도 수영도 할 수 있다는데, 너는 어떻게 생각해?#Person2#: 음, 해변은 아름다워. 그런데 사람들이 공기가 더러워서 불편해 하더라고. 안개, 연기, 자동차 배기가스가 섞여 있는데, 바람이 부족해서 흩어지지 않거든.","#Person2#는 #Person1#에게 로스앤젤레스의 여름 날씨가 좋지만, 공기 오염 때문에 사람들이 불편함을 느낀다고 말한다.",로스앤젤레스의 기후와 대기 오염
train_33_aug,"#Person1#: 저기, 온라인 카탈로그를 꽤 오래 사용하고 계신데, 뭐 도와드릴 거?#Person2#: 음, 제가 1930년대와 1940년대 할리우드에 논문을 써야 해서 힘들어요. 책이 수백 권이나 되고 어디서부터 시작해야 할지 모르겠어요.#Person1#: 주제가 꽤 넓어 보여요. 시대의 스튜디오 역사로 좁혀보는 건 어때요?#Person2#: 그런 했었는데, ' 영화 스튜디오 ' 라고 입력하니까 30권 넘게 나왔어요.#Person1#: 더 구체적으로 하려면 원하는 연도를 보는 건 어떠세요? ' 1930년대 ', ' ', 아니면 ' 황금기 ' 를 추가해 보세요.#Person2#: ' 황금기 ' 라는 게 좋은 생각이네요. 한번 입력해볼게요. 오, 봐요, 이번엔 나왔네요. 훨씬 낫네요.#Person1#: 그리고 또 가지 생각해볼 게 있어요. 잡지나 신문 기사를 찾아봤나요?#Person2#: 아니요, 책만 있었어요.#Person1#: 그러면, 잡지 기사들은 Reader ' s Guide to Periodical Literature에서 찾아볼 수.#Person2#: 알겠어요. 일단 이 책들로 시작해보고 잡지로 넘어갈게요.#Person1#: 도움이 필요하면, 제가 데스크에 있을게요.#Person2#: 좋네요, 감사합니다.",#Person2#는 30년대와 40년대 할리우드에 관한 책을 찾는 데 어려움을 겪고 있습니다. #Person1#은 주제를 특정 연도로 좁히라고 조언합니다. 또한 #Person1#은 #Person2#에게 잡지 기사를 검색해 보라고 제안합니다.,할리우드 연구 자료 검색
train_34_aug,"#Person1#: 그래서 휴가는 어땠어? 갔다 왔다고 했지?#Person2#: 맞아, 갔어. 토요일에 돌아왔어. 정말 멋졌어!#Person1#: 어디서 봤어?#Person2#: , 제일 유명한 곳은 다 봤지. 에펠탑, 노트르담 대성당도. 진짜 재미있었어.#Person1#: 투어도?#Person2#: 하나만 했어. 센강에서 투어를 했어.#Person1#: 와! 진짜.#Person2#: 응. 보기엔 최고였어.#Person1#: 미술관에도 갔어?#Person2#: 응. 우리 부모님은 미술을 좋아해서 미술관에서 몇 시간을. 근데 난, 그림에는 별로 관심이 없어서 좀 지루했어.#Person1#: , 또 뭐 했어?#Person2#: 음, 그냥 카페에 앉아서 사람들 구경하는 게 제일 좋았던 같아. 편안했어, 그리고 프랑스 커피는 정말 최고였어.#Person1#: 나도 보기엔 휴가였던 것 같아. 하지만 일하러 가야 해서. 언젠간 가볼 수 있길 바래.","#Person1#은 #Person2#에게 파리에서 어떻게 보냈는지 물어봅니다. #Person2#는 유명한 장소를 방문하고, 카페에서 시간을 보내며 즐거움을 느꼈습니다. #Person1#은 언젠가 그곳에 가보고 싶어 합니다.",파리 여행
