fname,summary
test_25,"#Person1#과 #Person2#는 술 마시는 습관에 대해 이야기합니다. #Person2#는 술을 많이 마시고, #Person1#은 보통 맥주 두 잔만 마십니다. #Person2#는 #Person1#에게 칵테일을 추천하지만, #Person1#은 맥주를 선호합니다. #Person2#는 #Person1#에게 내일 밤에 나가자고 제안합니다."
test_26,"#Person1#은 메이에게 소풍 준비를 도와달라고 요청합니다. 메이는 #Person1#의 요청을 따르며, 다니엘에게 도움을 요청하지 않습니다."
test_27,James는 Muriel Douglas 씨를 만나 새 계정에 대해 논의하기 위해 그녀를 기다리고 있습니다. 그들은 휴일을 어떻게 보냈는지에 대해 이야기합니다. James는 Susan을 소개할 예정입니다.
test_28,"#Person1#은 ATM에서 돈을 인출하려 했으나, #Person2#의 은행 기계가 #Person1#의 돈을 세계 야생동물 재단으로 이체하는 데 사용되었습니다. #Person1#은 돈을 돌려받기 위해 은행을 떠나야 합니다."
test_29,"#Person2#는 #Person1#에게 자신이 사교적인 성향을 가지고 있으며, 직장 동료들과 대화할 때 진심을 전하는 것이 중요하다고 말합니다."
test_30,"Mr. Polly는 음료수를 사고 싶어 하지만, #Person1#의 상사가 있는 가게에 가기 싫어합니다. 결국 Mr. Polly가 직접 가게에 가서 음료수를 사려고 합니다."
test_31,프랜시스와 모니카는 금요일 오후 1시부터 4시까지 재무 보고서를 검토하기로 약속했습니다.
test_32,#Person1#과 #Person2#는 인터뷰 준비 워크숍에 참석하여 인터뷰에 대한 고려사항과 준비 사항에 대해 논의합니다.
test_33,#Person1#은 #Person2#에게 그의 연기가 너무 슬프고 상처받은 것처럼 보인다고 말합니다. #Person1#은 #Person2#에게 그의 방식대로 연기를 해 보라고 제안합니다.
test_34,"#Person1#은 Mrs. Todd의 정원을 방문하여 인사를 나누고, Mrs. Todd는 #Person1#의 방문에 감사의 뜻을 전합니다."
test_35,빌은 피곤해 보입니다. #Person1#은 빌에게 퇴근 후 집에 가서 휴식을 취하라고 조언합니다. 빌은 형이 미국에서 출장 중이라고 말합니다.
test_36,"Simon은 핵무기 확산을 막는 시위에 참석할 계획이지만, Cleo는 시위가 평화롭지 않을 것 같아서 참석하지 않기로 결정합니다. Cleo는 물리 시험을 준비할 예정입니다."
test_37,"#Person1#은 #Person2#에게 잘못된 사람을 들여보내는 것을 비난하고, #Person2#는 신분증을 보여주면 괜찮다고 생각한다고 말합니다."
test_38,Mark는 Maggie에게 역사 노트를 빌리고 싶어 하지만 Maggie는 Mark가 수업 중에 졸리기 때문에 함께 스터디 파트너가 되자고 제안한다. Mark는 이에 동의한다.
test_39,"#Person2#는 Turner 교수님에게 지질학 고급 과목에 등록할 수 있는지 문의합니다. Turner 교수님은 #Person2#에게 Burman 교수님께 여쭤보라고 하며, 준비가 되었다면 등록을 허락할 것이라고 합니다."
test_40,#Person1#은 #Person2#의 가게에서 구매한 펜던트가 깨져 새 것으로 교환을 요청합니다. #Person2#는 영수증을 확인한 후 새 펜던트로 교환을 약속합니다.
test_41,"#Person1#은 박싱 데이 세일을 위해 옷을 고르고 있으며, #Person2#는 그녀의 옷에 대해 불만을 제기하고 있습니다. #Person1#은 #Person2#의 선호하는 팀이 매년 패배하는 것을 언급하며, #Person2#는 그녀의 옷을 환불하라고 요구합니다."
test_42,"#Person2#는 미디어 업계에서 일하는 것을 좋아하며, #Person1#은 #Person2#에게 TV 뉴스 디렉터, 잡지 기자, 인터랙티브 미디어 업무를 제안합니다. #Person2#는 인터랙티브 미디어를 선택합니다."
test_43,"#Person2#는 지루함을 느끼고 있으며, #Person1#은 #Person2#에게 신문을 읽으라고 제안합니다. #Person2#는 퍼즐을 싫어하지만, 만화 섹션을 좋아합니다."
test_44,#Person1#은 사라에게 도시 중심에서 떨어진 곳에 집을 사면 비용을 절감할 수 있다고 제안합니다. 사라는 이에 관심을 보입니다.
test_45,"Mark Leach는 #Person1#에게 런던의 영국 관광청 사무소에서 정보 담당관으로 일하며, 해외 방문객들에게 관광 정보를 제공한다고 설명합니다. 그는 방문객들에게 런던에서의 당일 여행을 계획하거나 영국에서의 2주간 여행을 계획하는 데 도움을 줍니다."
test_46,"Lucy와 Lin Fang은 다음 수업이 영어임을 알게 되고, 그들이 좋아하는 과목과 싫어하는 과목에 대해 이야기한다."
test_47,"James는 Mrs. Thomas의 집을 청소하고, 그녀의 개를 산책시켜 줍니다. Mrs. Thomas는 James의 주말 일에 감사하며, James는 다음 주말에 할아버지와 만나기 위해 여동생 Allison이 대신 올 것이라고 말합니다."
test_48,#Person1#과 #Person2#는 봄이 왔지만 밤에는 여전히 추운 상황에 대해 이야기하고 있습니다.
test_49,"#Person1#은 #Person2#에게 그녀의 연기가 상처받고 슬퍼 보이지만, 상황에서는 그녀의 캐릭터가 그렇게 행동하지 않을 것이라고 말합니다. #Person1#은 #Person2#에게 자신의 방식대로 연기를 해보고, 그 후에도 여전히 맞지 않는다면 다른 방법을 시도해 보라고 제안합니다."
test_50,"#Person1#은 프렌드쉽 호텔로 가기 위해 택시를 타고, #Person2#는 최선을 다해 빠르게 도착시켰습니다."
test_51,#Person1#은 버스 기사에게 환승권을 받아 다른 버스를 타고 집에 갈 수 있게 됩니다.
test_52,"#Person1#은 #Person2#에게 시내까지의 거리, 주변 회사들, 회사의 위치, 그리고 회사 식당에 대해 묻습니다."
test_53,#Person1#은 #Person2#에게 Lulu가 Vic과 헤어졌고 전근 신청을 했다고 전합니다.
test_54,데이브가 짐을 바꾸려고 전화했으나 짐이 페인트를 사러 나갔습니다. 샐리는 짐에게 데이브가 전화했다고 전할 것입니다.
test_55,"#Person2#가 #Person1#에게 시청으로 가는 길을 안내합니다. #Person1#은 처음에는 잘 듣지 못했지만, #Person2#가 다시 설명해 주자 이해합니다."
test_56,#Person1#은 여권을 잃어버렸습니다. #Person2#는 #Person1#에게 분실물 보고서를 작성하고 대사관에 연락하여 새 여권을 발급받도록 도와줍니다.
test_57,"Leah는 Nathaniel에게 Ms. Collins가 다음 주까지 전화를 드릴 수 없음을 알리고, 대신 Ms. Fonda와의 통화를 조율합니다."
test_58,"#Person1#과 #Person2#는 Sarah가 Dick 외에 결혼하지 않겠다는 말에 놀랐고, 그녀가 Dick을 사랑한다고 생각하는 이유를 이해하지 못한다."
test_59,"#Person1#과 #Person2#는 파티에서 많은 매력적인 여자들을 보고 있습니다. #Person2#는 금발의 Janice에게 끌리지만, 말을 걸기 어려워합니다. #Person1#은 #Person2#에게 용기를 내라고 격려합니다."
test_60,"Jack은 이번 학기에 듣고 있는 수업에 대해 #Person1#에게 이야기하고, 작년에 들은 수업 중 가장 좋아하는 수업을 추천한다."
test_61,"#Person1#과 #Person2#는 어제 베이징에 있었던 폭풍우에 대해 이야기합니다. #Person2#는 오늘도 비가 올 수 있다고 말하며, 베이징의 여름, 봄, 겨울에 대해 설명합니다."
test_62,"#Person1#은 #Person2#에게 영화를 보러 가자고 제안하지만, #Person2#는 공포, 탐정, 코미디, 멜로 영화를 싫어합니다. 결국 #Person2#는 전쟁 영화를 보러 가자고 제안합니다."
test_63,"#Person1#은 Adam에게 학교를 안내받으며, Adam은 #Person1#에게 학교의 다양한 시설을 소개합니다."
test_64,"#Person1#이 #Person2#에게 임신 소식을 전하며, #Person2#는 매우 기뻐합니다."
test_65,"#Person1#과 #Person2#는 John이 그녀와 데이트를 자주 한다는 이야기를 나누며, 그들이 잘 어울리는 커플이라고 생각합니다."
test_66,#Person1#은 #Person2#에게 소프트웨어에 그림 그리기 프로그램을 추가하고 하드웨어를 업그레이드할 것을 제안합니다. #Person2#는 이 제안을 긍정적으로 받아들입니다.
test_67,"#Person2#는 #Person1#에게 크렌쇼와 호손, 홀리데이 인 그 코너로 가는 길을 묻습니다. #Person2#는 중국에 출장으로 다녀왔고, #Person1#은 40세이며 콜롬비아 혈통을 가지고 있습니다."
test_68,#Person1#은 몸무게가 늘어나고 싶지 않다. #Person2#는 #Person1#에게 운동 수업에 가보라고 제안한다.
test_69,"James는 여덟 명을 수용할 수 있는 방을 예약했으나, 방이 준비되지 않아 웨이트리스가 안내해 줍니다."
test_70,"#Person2#는 #Person1#에게 공장의 규모, 설립 연도, 직원 수에 대해 설명합니다. #Person2#는 #Person1#을 생산 현장으로 안내합니다."
test_71,"Rebecca는 #Person1#에게 보니 대학 졸업 후 첫 직장이 York Herald 지역 신문이었고, 인턴에서 주니어 로컬 뉴스 리포터로 승진했다고 설명합니다. 이후 남편과 함께 런던으로 이사하면서 런던 주간지에서 일하게 되었다고 합니다."
test_72,"#Person1#과 #Person2#는 조별 발표를 위해 포스터를 만들기 위해 필요한 물품을 사러 가기로 했습니다. #Person1#은 쇼핑 리스트를 작성하고, #Person2#는 #Person1#에게 물품을 찾는 방법을 알려줍니다."
test_73,"Mary는 매일 인력시장을 방문하며 에너지를 많이 소모하고 있다. #Person1#은 Mary에게 인터넷으로 취직 지원하는 방법을 설명하고, Mary는 이를 시도해보기로 한다."
test_74,"#Person2#는 쇼핑 예산을 짜고 있으며, #Person1#은 #Person2#의 예산 계획을 칭찬합니다."
test_75,"Jane은 Susan을 병원에 보러 가려고 합니다. Henry는 13번 버스를 타면 된다고 조언하지만, 13번 버스는 시내 중심에서 출발하여 두 마일을 걸어야 한다고 말합니다."
test_76,#Person1#은 내년 판매 예측에 대해 #Person2#와 논의하기 위해 다음 주 화요일 오후 2시 30분에 #Person2#의 사무실을 방문하기로 했습니다.
test_77,#Person1#은 뉴욕 여행에 대해 #Person2#에게 조언을 구합니다. #Person2#는 '뉴욕에서의 친구'라는 개인 관광 안내 서비스를 추천합니다.
test_78,"#Person2#는 #Person1#의 회사에 대해 알고 있으며, 영업부에서 일하고 싶어합니다. #Person1#은 #Person2#에게 회사의 연봉과 복리후생에 대해 설명합니다."
test_79,"#Person1#은 계약서에 서명하러 왔으나, #Person2#는 계약서가 아직 완성되지 않았다고 설명합니다. #Person1#은 오늘 받을 수 있도록 요청하고, #Person2#는 오늘 저녁에 계약서를 작성하여 사본을 준비하겠다고 약속합니다."
test_80,"#Person1#은 #Person2#에게 사고를 알리고, #Person2#는 구급차와 경찰을 부르기로 했습니다."
test_81,"#Person1#이 길을 잃어버려 #Person2#에게 학교 보건실로 가는 길을 묻고, #Person2#가 길을 안내합니다."
test_82,#Person2#는 짐 엘리베이터 소음 때문에 방을 바꾸고 싶어합니다. #Person1#은 오늘은 빈 방이 없어 내일까지 기다려달라고 요청합니다.
test_83,"#Person1#은 #Person2#를 베이징 호텔로 데려다 주고, Mr. Wu가 #Person2#를 저녁 연회에 초대합니다. #Person2#는 이에 감사합니다."
test_84,"#Person1#은 길을 잃었고, #Person2#는 #Person1#에게 유이창으로 가는 방법을 안내합니다."
test_85,#Person2#의 컴퓨터가 작동하지 않아 Mr. Li에게 도움을 요청했으나 해결되지 않았습니다. #Person1#은 수리공에게 전화하라고 제안합니다.
test_86,"#Person2#는 어머니의 생신 선물로 시계를 찾고 있습니다. #Person1#은 #Person2#에게 시계를 추천하고, #Person2#는 시계를 구매하기로 결정합니다."
test_87,일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일일
test_88,"#Person2#는 #Person1#에게 러시아와 캐나다의 주요 차이점에 대해 설명합니다. 러시아에서는 대도시에서 사람들이 빠르게 움직이지만, 공공 서비스는 느리고 비즈니스가 잘 운영되지 않습니다. 반면 캐나다는 정부가 문제를 해결하고 새로운 기술을 활용하여 더 잘 운영합니다."
test_89,"#Person1#과 #Person2#는 카리브해로 여행을 가기로 결정했지만, 폭풍이 자주 온다는 점을 고려해야 합니다."
test_90,"#Person1#은 소풍에 가져갈 과일을 찾고 있으며, #Person2#는 포도를 추천합니다."
test_91,#Person1#은 내일 아침에 경제형 차량을 빌리기 위해 #Person2#에게 운전면허증을 제시하고 양식을 작성합니다.
test_92,#Person1#과 #Person2#는 웃는 사람들이 다른 사람에게 미치는 영향에 대해 서로 다른 의견을 가지고 있습니다.
test_93,"#Person1#과 #Person2#는 작년 판매 실적을 검토하며, Wallace가 사장이 된 이후 회사가 성장하고 흑자로 돌아섰다고 이야기합니다. 그들은 Wallace의 기여와 새로운 마케팅 전략이 성공의 원인이라고 생각합니다."
test_94,#Person2#는 가방을 잃어버려 돈이 필요하다고 #Person1#에게 50달러를 빌린다. #Person1#은 금요일에 갚을 것을 허락한다.
test_95,"Lin은 Steven의 중국식 식사에 대해 감사의 인사를 전하며, Steven은 중국에서 팁을 주지 않는 문화에 놀랍니다."
test_96,"빌은 룸메이트와의 갈등으로 인해 이사했고, 룸메이트의 외모에 대해 설명합니다."
test_97,"#Person2#는 Tom Wilson의 체크아웃을 도와주며, 그는 신용카드로 결제합니다."
test_98,"#Person1#은 캐롤이 수잔에게 전화를 받을 수 없을 때 대신 전화를 받습니다. 수잔은 파티가 오늘 밤인지 내일 밤인지 묻고, 캐롤은 내일 밤 8시 반에 질의 집에서 파티가 있다고 전합니다."
test_99,"#Person1#은 #Person2#를 어디서 본 것 같다고 생각하지만, #Person2#는 자신이 그곳에 일하지 않았다고 말합니다."
test_100,"#Person1#과 #Person2#는 트럼프와 바이든에 대한 의견 차이를 보입니다. #Person2#는 트럼프를 지지하지만, #Person1#은 바이든을 지지합니다."
test_101,#Person1#은 ATM을 사용하는 방법을 몰라서 #Person2#가 #Person1#에게 도움을 줍니다.
test_102,"수잔 밀러가 John에게 사무실 절차에 관한 메모를 요청했지만, John은 그 메모를 기억하지 못한다."
test_103,"#Person1#이 Lily에게 소풍에 초대하고, Lily는 편한 옷과 걷기 좋은 신발을 준비하기로 합니다."
test_104,"#Person2#는 중국에서 식사하는 것이 독특한 경험이라고 생각하며, #Person1#은 #Person2#에게 중국 식탁에서의 예절을 설명합니다."
test_105,"Frank와 Mary는 서로의 취미에 대해 이야기하며, Mary는 Frank에게 Movie Salon에 대해 소개한다. Frank는 그곳에 가서 회원 가입을 하기로 한다."
test_106,"#Person2#는 환경 문제에 관심이 많아 녹색당에 가입할까 생각했지만, #Person1#은 녹색당이 선거에서 이길 가능성이 없다고 말합니다. #Person2#는 작은 정치 단체나 압력 단체도 큰 정당에 영향을 미칠 수 있다고 설명합니다."
test_107,Wilson 씨는 #Person1#에게 상품 문제로 인한 손실에 대해 책임을 물었습니다. #Person1#은 문제를 해결하고 포장을 개선할 계획을 세웠습니다.
test_108,#Person2#는 은행에서 강도를 목격했습니다. #Person1#은 #Person2#에게 경찰서에 와서 더 많은 정보를 제공해 달라고 요청합니다.
test_109,#Person2#는 #Person1#에게 아버지와 어머니가 외식을 가셨다고 말합니다. #Person1#은 피자를 주문하기로 합니다.
test_110,"#Person1#은 새해 결심으로 다이어트를 하기로 했지만, 과자와 탄산음료를 먹으며 결심을 지키지 못하고 있다."
test_111,"Karen은 Comp Lit 287 수업에 등록하려 했지만, 수업이 만원이라서 등록이 불가능했습니다. Karen은 비교문학 전공자임을 밝히자, #Person1#은 특별 코드를 제공하여 Karen이 수업에 등록할 수 있도록 도와주었습니다."
test_112,"#Person1#은 우산을 잊고 나왔습니다. #Person2#는 #Person1#에게 우산을 함께 쓰자고 제안하고, 함께 가든 호텔로 가기로 합니다."
test_113,"Jack은 Daisy에게 자신의 새로운 차를 소개하고, Daisy는 그 차가 빠르고 잘 달린다고 생각한다."
test_114,#Person2#는 #Person1#에게 큰불이 밤 10시에 발생했다고 말합니다.
test_115,"#Person2#는 남편이 계산을 원한다고 하여 #Person1#에게 계산을 부탁합니다. #Person1#은 서비스 요금을 포함한 총 905위안을 요구하지만, #Person2#는 현금으로 지불할 수 없어 신용카드로 결제합니다."
test_116,#Person2#는 #Person1#에게 일반 세차 패키지를 요청합니다. #Person1#은 #Person2#에게 일반 세차 패키지의 세부 사항을 설명합니다.
test_117,"해리와 그의 아내는 이집트로 휴가를 가고 싶어 하지만, 강아지와 집, 정원을 누가 돌볼지 걱정하고 있다."
test_118,"Johnson은 #Person1#에게 기계 사용 방법을 설명하며, #Person1#은 운동 카드를 작성하고 기계를 사용하기 시작합니다. #Person1#은 7개 기계를 남기고 지쳐서 중단하기로 합니다."
test_119,"#Person1#과 #Person2#는 실직 상태이며, #Person2#는 #Person1#에게 전기 기술자 프로그램에 지원할 것을 제안합니다."
test_120,#Person1#은 #Person2#에게 강아지의 목욕을 시키고 수의사 예약을 잊지 말라고 요청합니다.
test_121,"#Person1#은 집주인에게 돈을 갚아야 해서 에이든에게 돈을 빌리려고 하지만, 에이든은 돈이 부족하다. 결국 에이든은 20달러를 빌려주기로 하고, #Person1#은 에이든을 저녁에 초대한다."
test_122,"#Person2#는 자선 단체에서 일한 경험을 통해 #Person1#에게 사랑, 동정심, 평등 같은 가치관을 배웠다고 말합니다."
test_123,#Person1#과 #Person2#는 연락 방법과 결과 발표 일정에 대해 논의합니다.
test_124,#Person2#는 #Person1#에게 모우탄과 베이징 오리 구이를 추천합니다. #Person1#은 이에 동의합니다.
test_125,"Angela는 Dan에게 다음 주에 친구의 결혼식에 함께 가자고 제안하고, Megan도 초대하자고 합니다. Dan은 이미 선물을 준비했으며, Angela는 Megan에게 이야기를 전할 것입니다."
test_126,"#Person1#과 #Person2#는 디저트를 먹으며 서로의 음식을 시도합니다. #Person2#는 #Person1#의 티라미수를 매우 좋아하고, #Person1#은 #Person2#의 요거트를 괜찮다고 생각합니다. 그들은 튀긴 바나나를 추가로 주문합니다."
test_127,"#Person1#은 Smith 씨의 대학교, 전공, 나이, 직장 경력, 그리고 급여에 대해 질문합니다."
test_128,#Person1#은 조카를 위해 #Person2#의 도움을 받아 디지털 바비 인형을 구매합니다.
test_129,"#Person2#는 조던 운동화를 구매하려고 하며, #Person1#은 세일 중이라 더 싸게는 할 수 없다고 설명합니다."
test_130,#Person1#은 과학박물관에 가고 싶어 하지만 길을 잃었습니다. #Person2#는 #Person1#에게 티켓을 구매하는 방법과 기차를 타는 방법을 안내합니다.
test_131,"사이먼은 '단계적 은퇴' 제도에 참여하여 6개월 동안 일을 쉬고, 이후 회사의 프로젝트 업무에 지원할 수 있게 되었습니다. 그는 회사 웹사이트에 구인 정보를 게시하여 다양한 업무를 선택할 수 있으며, 회사는 유연성을 얻을 수 있습니다."
test_132,"Rocky는 다정하고 모든 필요를 채워주는 여자를 좋아하지만, #Person1#은 외향적이고 다정하며 사람 차별하지 않는 여자를 선호합니다. #Person1#은 Rocky가 결혼하기 어려울 것이라고 생각합니다."
test_133,#Person1#과 #Person2#는 어젯밤 폭풍에 대해 이야기하고 있습니다. #Person1#은 집 앞 나무가 부러졌지만 집은 피해가 없었다고 말합니다. #Person2#는 여전히 날씨에 불만을 가지고 있습니다.
test_134,"#Person1#은 #Person2#와 함께 집에서 TV를 보고 싶어하지만, #Person2#는 TV를 지루하게 느끼고 외출을 선호합니다. 결국 #Person2#는 #Person1#에게 함께 음악을 하자고 제안합니다."
test_135,"Ben은 새 학교에서의 수업에 대해 긴장하고 있다. #Person1#은 Ben에게 새 학교 생활에 적응하라고 격려하며, 수업 일정과 점심시간에 대해 설명한다."
test_136,Adam은 무릎이 훨씬 나아졌다고 #Person1#에게 말한다. #Person1#은 Adam에게 경기 영상을 보고 휴식을 취하라고 조언한다.
test_137,#Person1#은 #Person2#에게 프린터를 사용해 문서를 프린트해 달라고 부탁합니다.
test_138,"#Person1#은 커튼을 설치하려고 하고, #Person2#는 #Person1#을 도와주기로 했습니다."
test_139,#Person1#은 Jack에게 주말 캠핑 계획을 위해 달력을 확인해 달라고 요청합니다. Jack은 다다음 주말이 가장 좋은 날짜라고 제안합니다.
test_140,"#Person2#는 #Person1#에게 산불 진화를 위해 북쪽으로 긴급 소집되었다고 설명합니다. #Person1#은 임신한 것 같다고 말하고, #Person2#는 아기가 자신의 아이가 아니라고 의심합니다."
test_141,#Person2#는 딸이 대학을 선택하지 못해 걱정하고 있습니다. #Person1#은 #Person2#에게 딸이 스스로 결정할 수 있도록 격려하라고 조언합니다.
test_142,#Person1#은 실수로 인해 일자리를 잃을까 봐 걱정하고 있다. #Person2#는 #Person1#에게 일자리를 잃으면 함께 살면서 돈을 절약하자고 제안한다. #Person1#은 이 제안을 고려해 볼 것이다.
test_143,"#Person2#는 #Person1#에게 친구가 영국에서 도착하여 집에 머물며 강연을 하게 되었다고 말합니다. 강연 주제는 멀티모달 텍스트 생성에 관한 것이며, #Person1#은 강연에 참석하고 싶어합니다."
test_144,"#Person2#는 감기에 걸렸고, #Person1#은 #Person2#에게 따뜻하게 해주고 싶어 하지만 #Person2#는 집에서 쉬고 싶어 한다."
test_145,"Mr. Faber는 요크 호텔에 전화하여 3박 동안 더블 룸을 예약하고, 조식 포함 요금을 확인합니다."
test_146,"#Person1#은 저렴한 원룸을 찾고 있으며, #Person2#는 웨스트 더비를 추천합니다. #Person2#는 #Person1#에게 남쪽 더비에 있는 John Godfrey에게 연락하라고 조언합니다."
test_147,#Person1#과 #Person2#는 운전 중에 정지당한 것에 대해 서로에게 책임을 돌리며 다투고 있습니다.
test_148,Darlene은 Dan에게 컴퓨터 주문이 지연되었다고 전화합니다. Dan은 Steve에게 전화하라고 Darlene에게 전화번호를 알려줍니다.
test_149,"#Person1#과 #Person2#는 워싱턴 포스트, 뉴욕 타임스, 로스앤젤레스 타임스의 창간 연도에 대해 이야기합니다."
test_150,"#Person2#는 컴퓨터에 바이러스가 들어왔다고 생각했지만, #Person1#은 첨부 파일이 크기 때문에 이메일을 보낼 수 없다고 설명합니다."
test_151,"#Person1#은 #Person2#에게 주말을 즐겁게 보냈다고 말하며, 다음에 다시 초대할 것이라고 약속합니다."
test_152,"#Person1#은 중국 음식을 먹고 싶어 하고, #Person2#는 Panda Express를 추천합니다."
test_153,"메리가 톰에게 영업직 제안을 철회했다고 알리고, 톰은 다시 고려해 달라고 요청합니다."
test_154,"#Person1#은 #Person2#에게 전화를 걸었지만, #Person2#는 응답하지 않았습니다. #Person1#은 #Person2#에게 전화를 걸지 말라고 경고합니다."
test_155,"#Person2#는 음악 교사가 되고 싶어하며, 다양한 음악을 좋아합니다. #Person1#은 #Person2#의 경력에 만족하며, #Person2#는 학생들이 클래식 음악을 더 듣기를 권장합니다. #Person2#는 #Person1#에게 클래식 음악을 추천합니다."
test_156,"#Person2#는 #Person1#에게 같은 건물에 사는 미국 여자에게 반했다고 말합니다. #Person2#는 그녀를 초대할 계획이며, #Person1#은 그녀가 장점이 될 것이라고 생각합니다."
test_157,"#Person1#은 Mirella가 출근할 때마다 청바지와 스웨트셔츠를 입고 있다고 말하며, 관리팀이 그녀의 스타일을 수용하지 않을 것이라고 생각한다. #Person2#는 Mirella가 서부 해안 스타일에 영향을 받았다고 생각한다. 관리팀은 그녀의 스타일을 수용하지 않기 위해 새 드레스를 제공했다."
test_158,"#Person2#는 자신의 법률 사무소를 열고 싶어하며, #Person1#은 그에게 도움을 제안합니다."
test_159,"Peter는 Kate에게 어젯밤 온라인에서 음악을 들었다고 말하고, 지금은 피곤해서 쉬어야 한다고 합니다."
test_160,"#Person1#과 #Person2#는 배와 보트가 기차, 비행기, 자동차에게 자리를 내주고 있다고 이야기합니다. #Person1#은 여객선 운행 중단에 대해 언급하고, #Person2#는 사람들이 배의 느린 속도 때문에 배 여행을 피한다고 설명합니다."
test_161,"Fanny는 어젯밤 악몽을 꾸고 피곤해 보입니다. 그녀는 어머니가 깨우셨고, 어머니가 그녀에게 초콜릿 쿠키와 우유를 주셨습니다. 그녀는 미시간 대학교에 들어가는 것이 걱정입니다."
